created_at,full_text,score,label
Mon Oct 28 04:32:35 +0000 2024,ingat hari sumpah pemuda literasi finansial gen rendah,-1,Negatif
Mon Oct 28 02:54:10 +0000 2024,tema oktobermemperingati sumpah pemuda sudah gen melek finansial,0,Netral
Sun Oct 27 00:19:11 +0000 2024,yolo fomo hancur uang ikut deret tips finansial ojk gen fenomena yolo you only live once fomo fear of missing out sering kali buat anak muda jebak putus finansial bijak trenasia,2,Positif
Sat Oct 26 13:15:34 +0000 2024,jadi enggak beli rumah instrumen finansial konvensional lain jadi keluar geser lebih sifat experiencebased salah satu beda generasi boomer kali sama millenial utama late sama gen,-1,Negatif
Fri Oct 25 13:40:05 +0000 2024,video gen amp finansial cerdas atur uang youtube,0,Netral
Fri Oct 25 07:17:41 +0000 2024,transaksi judi online tembus angka triliun bukan sekadar angka dampak besar buat masyarakat rugi finansial keluarga pecah judi online makin resah kalau terus biar siapa tanggung akibat judol zgenvoiceid,-3,Negatif
Fri Oct 25 02:43:55 +0000 2024,fenomena doom spending bukti rendah literasi finansial gen solusi,-1,Negatif
Thu Oct 24 08:42:38 +0000 2024,fenomena doom spending bukti rendah literasi finansial gen solusi,-1,Negatif
Tue Oct 22 04:54:33 +0000 2024,temu riset idn persen millenial gen sulit finansial,2,Positif
Mon Oct 21 02:09:37 +0000 2024,gen gara ciptaker enggak jamin karir finansial saking status expendable banget bikin ciptaker padahal kakekbapakabangnya jadi usaha ekonomi begini lu funder sustainable syukur dongok,-2,Negatif
Sun Oct 20 16:46:19 +0000 2024,biasa keluar mulut milenial sandwich generation finansial pepet asih makan anak istri susah punya rumah ngontrak gara iri sama gen keluarga cemara orangtuanya cukup,-5,Negatif
Sun Oct 20 09:10:10 +0000 2024,alas bikin gen lilit utang gen kenal generasi milik kuat finansial cukup signifikan cenderung tunjuk sikap boros konsumtif jakarta generasi gen rupa generasi trenasia,-5,Negatif
Sat Oct 19 10:36:02 +0000 2024,enggak tanggung jawab finansial skill wajib milik gen,-1,Negatif
Sat Oct 19 05:02:18 +0000 2024,sabtu kepala bps provinsi diy herum fajarwati jadi bicara studium generale tajuk gen cerdas data cerdas finansial selenggara universitas islam indonesia,1,Positif
Fri Oct 18 13:07:16 +0000 2024,salah finansial hindar gen masa depan lebih stabil,1,Positif
Fri Oct 18 08:30:00 +0000 2024,gen milenial siap diri kelak jadi generasi cerdas tahu milik moral baik mapan finansial genz tipsfinansial medcomid mudamemberiarti,2,Positif
Wed Oct 16 22:54:00 +0000 2024,cewenya tipe anak bungsu anak gen biasa ceplas ceplos chatnya deh kaya batal ribut masalah finansial mulu entar hehhe,-5,Negatif
Wed Oct 16 22:52:29 +0000 2024,mau jadi gen finansial savvy dapat tambah ribet pikir suatu hari kamu enggak kerja biasa sakit celaka mungkin butuh break panjang terus bagaimana stop scroll penting buat kamu,-1,Negatif
Wed Oct 16 10:19:39 +0000 2024,survei jakpat gen lebih pilih sewa banding beli rumah alas besar siap finansial tambah harga rumah terus naik,6,Positif
Wed Oct 16 08:04:35 +0000 2024,gen milenial lebih utama work life balance banding finansial,0,Netral
Wed Oct 16 07:51:13 +0000 2024,gen milenial lebih utama worklife balance finansial apa alas,0,Netral
Tue Oct 15 11:29:57 +0000 2024,gen gen deh deh baca threads biar enggak tular peileter invlinic paylater genz finansial,-1,Negatif
Mon Oct 14 05:49:18 +0000 2024,yuk simak finansial gen,1,Positif
Mon Oct 14 04:00:45 +0000 2024,rujuk survei aman finansial internasional cnbc laku survey monkey orang dewasa seluruh dunia orang dewasa rasa lebih baik finansial banding orang tua,1,Positif
Sun Oct 13 06:45:31 +0000 2024,dua gen sangat harga mandiri bebas finansial istilah keren financial freedom hahaha,-1,Negatif
Sun Oct 13 06:01:37 +0000 2024,kenal tren finansial gen loud budgeting soft saving doom spending tengah tantang ekonomi,-1,Negatif
Fri Oct 11 03:00:02 +0000 2024,gen saat jadi generasi cerdas finansial pintar atur uang sejak dini kunci raih masa depan lebih cerah,2,Positif
Thu Oct 10 23:16:47 +0000 2024,gen memang kebelet nikah mending kuat mostly janda tahun bagus benar meni muda siap nya matang segala aspek utama mental finansial,-1,Negatif
Thu Oct 10 18:25:00 +0000 2024,jawab tren yolo ala gen solusi syariah finansial imbang yolo genz,0,Netral
Thu Oct 10 16:11:14 +0000 2024,gen keluar tersier lain ngopi bayar sikolog tahi banget mau waras peras finansial bagaimana mau beli rumah,0,Netral
Thu Oct 10 10:45:35 +0000 2024,bagaimana beli rumah kalo gen nanggung beban finansial gen atas nikah siap finansial gaji kecil pajak gede harga tanah bangun makin mahal wkwk dah gen hidup syukur,1,Positif
Wed Oct 09 07:01:15 +0000 2024,tiada hari istilah baru kaum gen milenial sekarang istilah baru nama doom spending yuk coba ajar soal doom spending lewat thrads invlinic doomspending uang finansial genz milenial edukasi,0,Netral
Tue Oct 08 09:05:36 +0000 2024,eh juta gen enggak punya tabung yuk coba baca jelas lengkap soal baca threads soal bagaimana gen atas invlinic finansial uang genz tabunganedukasi,1,Positif
Sun Oct 06 07:29:23 +0000 2024,begini nih kalau gen baru jadi karyawan kalau suruh ngegas mulu walaupun kerja beres cara atur uang melek literasi finansial sepentingitu buat kamu mulai kerja tabung investasi punya asuransi,3,Positif
Thu Oct 03 16:01:28 +0000 2024,jawab tren yolo ala gen solusi syariah finansial imbang yolo genz syariah,0,Netral
Thu Oct 03 12:43:40 +0000 2024,allahul mustaanini musibah gen rusak sejak dini judol keluarga beban baik mental maupun finansial judol yakin bandar banyak negeri min t omset tahun apbn tuh kalo duit segitu keluar negeri goyang eco indonesia,-4,Negatif
Thu Oct 03 08:15:38 +0000 2024,assalamu alaikum sahabat syariah meski gen rupa generasi melek digital bagi gen hadap tantang besar literasi uang sepenuh paham cara kelola uang bijak jangan biar putus finansial pengaruh,-2,Negatif
Thu Oct 03 03:00:01 +0000 2024,financial freedom mitos nyata generasi punya tantang perspektif beda apa kamu tuju gen lebih dekat bebas finansial banding generasi sandwich yuk share dapat,-3,Negatif
Mon Sep 30 11:50:59 +0000 2024,begini nasib gen sekarang biar nasib enggak merana terusterusan stay tune bakal baru lho invlinic invlinic kucing uang finansial genz milenial comingsoon,-2,Negatif
Fri Sep 27 19:10:34 +0000 2024,festival literasi uang sehat finansial gen rendah,-1,Negatif
Fri Sep 27 07:49:33 +0000 2024,ojk ingat gen soal fenomena buat rugi finansial tempobisnis,-1,Negatif
Fri Sep 27 07:17:54 +0000 2024,rumah tapak jadi favorit gen buat rumah impi enggak apartemen lebih murah yuk baca faktafakta soal threads invlinic genz rumah uang finansial edukasi,5,Positif
Fri Sep 27 04:46:15 +0000 2024,utama gen kenal selektif banget cari produk finansial aman pasti enggak ribet pas banget sama asuransi syariah industri asuransi syariah makin ngegas nih biar makin dekat sama gen semua serba digital medsos aplikasi,4,Positif
Fri Sep 27 04:46:14 +0000 2024,era digital serba cepat asuransi syariah muncul solusi finansial bas islam makin lirik bagaimana sih pandang gen soal yuk simak thread,4,Positif
Thu Sep 26 12:20:10 +0000 2024,guna layan kredit online bijak sebab masalah finansial milenial gen,0,Netral
Wed Sep 25 10:39:56 +0000 2024,jadi gen era sekarang susah survive parah baik finansial maupun saing sehat manusia teknologi,-1,Negatif
Tue Sep 24 08:52:58 +0000 2024,turut gen sekarang lebih sadar finansial butuh biaya banyak buat nikah bahkan after nikah gaya hidup modern karier kembang diri lebih utama tinggi angka cerai atur kaku nikah,1,Positif
Mon Sep 23 23:12:34 +0000 2024,gig economy pilih fleksibel gen risiko finansial masa depan,-2,Negatif
Mon Sep 23 11:15:00 +0000 2024,gen tunjuk cara baru tarik kelola finansial era digital genz finansial medcomid mudamemberiarti,1,Positif
Fri Sep 20 11:12:36 +0000 2024,sobat muda sehat finansial gen milenial kota ancam apa sebab simak utas ikut,-4,Negatif
Fri Sep 20 09:48:39 +0000 2024,hasil survei tunjuk kelompok gen awal milenial akhir alokasi anggar finansial besar gaya hidup hasil cermin gen amp milenial kota makin banyak depan penuh gaya hidup turut lingkung gaul,1,Positif
Thu Sep 19 15:19:34 +0000 2024,rahasia uang gen tiru sukses finansial,1,Positif
Thu Sep 19 03:55:03 +0000 2024,gen terap soft saving cenderung milik target tabung perhati mampu finansial terburuburu,1,Positif
Tue Sep 10 06:44:24 +0000 2024,suara sosma haloo sobat beasiswa scholarflip buka beasiswa scholarflip rupa program beasiswa luncur flip beri dukung finansial dorong gen rangkul gaya hidup hemat bijak kelola uang,2,Positif
Tue Sep 10 01:39:14 +0000 2024,ancam serius masa depan finansial gen amp milenial,-2,Negatif
Mon Sep 09 16:19:07 +0000 2024,gen milenial indonesia jadi sorot beberapa tahun akhir kait perilaku finansial cenderung arah cenderung utang main judi online judolperusak fufufafa susu guru gembul puput novel hujan npwp gibran jennie is coming senin,-1,Negatif
Mon Sep 09 13:01:55 +0000 2024,mulai pikir asuransi sejak muda investasi cerdas lindung jangka panjang gen sadar finansial lebih siap hadap masa depan penasaran asuransi mana cocok untuk yuk konsultasi lalu dm,7,Positif
Mon Sep 09 13:00:13 +0000 2024,kamu muda mungkin rasa asuransi penting iring waktu lindung finansial jadi kunci masa depan lebih aman nah ikut tips pilih asuransi sesuai gen,0,Netral
Sat Sep 07 21:30:17 +0000 2024,kelola uang tabung efektif sangat penting gen baru mulai jalan finansial ikut beberapa langkah tips bantu,4,Positif
Wed Sep 04 11:16:48 +0000 2024,bukan cuma sulit cari kerja gen bakal jadi generasi susah kayak kalo enggak mau ngubah biasa pesan buat kalian gen mau ubah sehat finansial mulai investasi,-3,Negatif
Wed Sep 04 10:55:55 +0000 2024,finansial ku freedom asa bajingbajing sungguh valid jadi impulsif jadi arti aku sedang juang serah enggan cari telinga palsu anjay problem guweh gen banget,-1,Negatif
Fri Aug 30 05:48:04 +0000 2024,biasa finansial jerumus milenial gen,0,Netral
Thu Aug 29 07:29:44 +0000 2024,gen milenial lebih utama worklife balance finansial apa alas bisnis muda bisnismuda,0,Netral
Tue Aug 27 16:10:27 +0000 2024,milenial gen susah bayar kontra beli rumah sistem finansial sekarang rusak korup ajar bitcoin,-2,Negatif
Tue Aug 27 14:52:05 +0000 2024,gen galau soal finansial pilih beli rumah vs meni,-1,Negatif
Sun Aug 25 04:44:44 +0000 2024,biasa finansial rusak generasi milenial gen,-1,Negatif
Sun Aug 25 04:34:49 +0000 2024,teknologi makin maju pesat kembang internet gen nikmat bagai mudah fasilitas akses stabil finansial keluarga,5,Positif
Sun Aug 25 03:30:16 +0000 2024,entuk kenal gen mau bengi jam jam curhat babagan finansial yaene wis nembung duit i matane,0,Netral
Sat Aug 24 04:09:13 +0000 2024,sobatnakertrans alam krisis ekonomi alami ketidakpastian ekonomi sejak muda buat gen lebih harga stabilitas kerja aman finansial cenderung cari posisi tawar gaji kompetitif tunjang baik stabilitas jangka panjang,3,Positif
Tue Aug 20 04:39:35 +0000 2024,materi finansial didik fakta lulus wisuda masalah finansial selalu realistis hidup enggak jauh pajak asuransi manajemen uang hutan investasi gen harus latih pikir kritis,-3,Negatif
Sat Aug 17 06:35:06 +0000 2024,merdeka gen ku kamu lebih kamu bebas jadi huruf f fleksibel orang finansial freedom cita cita fyp tujuanya fokus sehat mental inti generasimerzeka,0,Netral
Fri Aug 16 02:40:27 +0000 2024,gaes tips tuju finansial freedom ala gen kamu coba,1,Positif
Thu Aug 15 08:25:49 +0000 2024,hai gen pernah rasa mimpi kamu kayak jauh banget kendala finansial mau tau solusi tonton video reels instagram aku tipsuang bisnisonline inspirasi suksesmuda financialfreedom tipskonten bisnisdigital produkdigital genz,-2,Negatif
Tue Aug 13 12:03:21 +0000 2024,makanya bagus padahal mulai anak gen sadar kalo mending childfree diri sendiri jadi orang tua enggak tanggung jawab nyata siap finansial ilmu parentingnya gue yakin mikir childfree paling enggak niat buat punya anak,0,Netral
Sun Aug 11 05:33:15 +0000 2024,kurikulum akomodasi karakteristik gen kuat mitra usaha industri sangat penting langkah kuat akomodasi karakteristik gen pragmatis utama aman finansial arti cepat kerja,5,Positif
Sun Aug 11 05:27:26 +0000 2024,walaupun cenderung pragmatis dinamis utama aman finansial amp fokus kembang terampil relevan gen cari makna amp dampak kerja studi jelas aspek fleksibiltas lanjut amp dian fasilitas canggih jadi preferensi hidup,1,Positif
Fri Aug 09 19:44:42 +0000 2024,gen lemah pernah enggak lanjut sekolah benar nyaman banget mikir finansial keluarga enggak ambil sekolahuniv impi gegara biaya aduh gws didik indonesia,2,Positif
Thu Aug 08 09:12:25 +0000 2024,naik harga huni butuh tempat tinggal bengkak huni layak jadi tantang besar gen baru masuk angkat kerja padahal milik properti penting stabil finansial,-1,Negatif
Wed Aug 07 03:35:21 +0000 2024,kenal genfi teman setia gen urus finansial sini bakal ngobrolin soal uang bisnis semua resah sering bikin galau bukan cuma edukasi event acara seru lain sayang banget buat lewat genzfinancial,-3,Negatif
Tue Aug 06 02:19:52 +0000 2024,dihimpit tanggung biaya orang tua saudara pikir diri sendiri banyak gen baru kerja bangun karier punya sehat finansial baik sering jebak utang penuh butuh keluarga salah satu lewat pinjam online,-4,Negatif
Mon Aug 05 14:43:19 +0000 2024,omong value of money ala anak gen bareng mindoo generasiz convertpulsa valueofmoney money uang finansial pulsajadiuang zonauang zonajajan,-2,Negatif
Mon Aug 05 13:30:00 +0000 2024,generasi lekat stereotipe tech savvy kreatif melek finansial kerap cap malas manja rapuh fakta cari kerja gen hambat faktor struktural penasaran baca lengkap artikel ikut gtgt,-8,Negatif
Sun Aug 04 11:30:25 +0000 2024,banyak masyarakat keluh ekonomi sulit bahanbahan pokok mahal uang cukup butuh banyak gen masuk dunia kerja rasa siap finansial akibat banyak anggur,-2,Negatif
Wed Jul 31 17:08:06 +0000 2024,nope generasi alpha orang tua banyak melek didik finansial bonus demografi banyak gen,-2,Negatif
Mon Jul 29 08:05:52 +0000 2024,generasi mulai rambah dunia kerja generasi milik potensi besar capai bebas finansial loh nyata banyak gen alami sulit tabung pengaruh cenderung boros gaya hidup konsumtif,-1,Negatif
Sun Jul 28 15:14:09 +0000 2024,alas bikin gen ogah meni salah satu fokus finansial,-2,Negatif
Sun Jul 28 01:02:56 +0000 2024,harap bangun komunitas sebar alam female gen lain kalau makin banyak female gen ikut jejak dampak luar biasa ekonomi keluarga makmur finansial cipta,-2,Negatif
Sat Jul 27 02:20:15 +0000 2024,osu itu kalo kata stagnan benar gue tuju sama beliau kalo sekarang banyak opsi kayak dulu gue jadi lamar gen mungkin nolak cuma mau bagaimana mampu finansial mampu segitu,-5,Negatif
Sun Jul 21 15:04:50 +0000 2024,ideal turut gen enggak bakal ingat finansial,0,Netral
Sat Jul 20 01:18:45 +0000 2024,generasi lahir siap pondasi finansial keluarga lebih kokoh jadi gen can afford not work at least they can choose its for their mental health too,2,Positif
Sat Jul 20 00:47:51 +0000 2024,cicil selesai denda simpan bpkb bank juta baru tebus banyak banget ajar finansial gue mampu ambil mobil better ambil lcgc minim maintance amp sparepart murah,0,Netral
Fri Jul 19 12:43:52 +0000 2024,gen enggak atur uang dong jangan lupa macam investasi sahabat terap capai sukses finansial sahabatpegadaian gadai,-1,Negatif
Sun Jul 14 04:15:44 +0000 2024,jakpat survey report kait property perspective from gen tunjuk banyak persen gen siap finansial beli rumah lebih pilih sewa alias ngontrak bisnisupdate update bisnis infog,5,Positif
Sun Jul 14 03:48:19 +0000 2024,siapa nih gen milenial mau ikut partisipasi buat bangun negeri kalo pengin threads pas buat kamu nih yuk baca habis invlinic genz milenial uang finansial edukasi,4,Positif
Wed Jul 10 15:56:16 +0000 2024,agree sama nyata kak albertus axel kalo tahan lifestyle cara disiplin finansial ajar budgeting konsisten investasi mulai diterapin buat gen inflasi indonesia bahkan dunia gilagilanya naik gaji enggak imbang sama angka inflasi tahun,6,Positif
Mon Jul 08 06:44:48 +0000 2024,kondisi uang gen kayak sulit tebak mending antisipasi dulu deh sesal yuk praktik bawah biar jauh kata miskin invlinic genz milenial finansial uang edukasi,-3,Negatif
Sun Jul 07 14:54:00 +0000 2024,gen tarik meni salah satu alasanya faktor finansial,-1,Negatif
Thu Jul 04 12:00:57 +0000 2024,gen yuk mulai langkah tuju bebas finansial genzfinansial kebebasanfinansial tipsfinansial investasimuda mengaturkeuangan masadepancerah finansialmandiri langkahfinansial mulaisekarang finansialsehat,2,Positif
Wed Jul 03 17:26:26 +0000 2024,siap jadi baris gen enggak bakal nikah kalo finansial mampu,1,Positif
Wed Jul 03 08:21:09 +0000 2024,memang benar gen punya tabung digit pertama umur an buat kamu bias bingung soal umur an punya tabung digit pertama mending tonton video dulu buat dapat cerah invlinic finansial genz milenial edukasi,3,Positif
Mon Jul 01 06:53:06 +0000 2024,alas gen pilih tunda nikah mandiri finansial masuk daftar health,-3,Negatif
Sun Jun 30 11:57:32 +0000 2024,jangan gen milenial takut kalo enggak siap finansial,0,Netral
Fri Jun 28 07:38:26 +0000 2024,dasar hasil survei property perspective from gen rilis jakpat banyak gen aku rencana beli rumah alas utama finansial stabil masalah finansial lain gen rasa mampu bayar kpr tirtodaily,1,Positif
Wed Jun 26 03:52:07 +0000 2024,bukan perkara stabil finansial mental stabil sih soal ku aku kadang aku anger issues,0,Netral
Sat Jun 22 15:08:01 +0000 2024,kuasa tips jitu gen siap hadap tantang finansial era digital,2,Positif
Sat Jun 22 10:16:31 +0000 2024,kuasa tips jitu gen siap hadap tantang finansial era digital,2,Positif
Thu Jun 20 04:21:54 +0000 2024,makin sering caci lama gen akhir punya resistensi tunjuk performa kerja tingkat hingga per tahun tahun bahkan gen sering dinyiyirin malah kalah etos kerja milenial sektor finansial kreatif agribisnis,5,Positif
Wed Jun 19 03:24:18 +0000 2024,meski terlalu dini ambil simpul usia gen kisar tahun lihat tahun masalah trendnya ubah demografi turun picu besar finansial naik angka perzinahan aborsi konsekuensi logis enggan pelamin,-3,Negatif
Tue Jun 18 02:38:49 +0000 2024,gen awal pikir enggak usah nikah ribet masalah finansial malah akhir akhir tambah ribut masalah komun makin bikin pengin enggak nikah wkwkw,-2,Negatif
Sat Jun 15 13:15:25 +0000 2024,gen rapat kamu rasa gaji kamu kurang bukan nilai kecil mungkin kamu melek finansial jadi yuk ajar terap hidup,-3,Negatif
Wed Jun 12 12:36:27 +0000 2024,show me dong betul gue gen bang finansial stabil enggak pernah pinjol main judi kayak abang gen jadi penasaran gaya hidup konsumtif buruk apa tuh hidup sama otak buntut,0,Netral
Sat Jun 08 00:12:26 +0000 2024,kata siapa gen lemah rusak bobrok nih aku kasih paham lebih gen gen dahulu gen lebih melek sama teknologi gen lebih aktif medsos gen cenderung lebih mandiri gen prioritas finansial gen selalu pikir kritis,0,Netral
